.497363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3668798011527925, 2.3285271190942174, -0.6871006042558452], limiar atualizado: -2.477363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3709038011527925, 2.3337491190942172, -0.5778386042558452], limiar atualizado: -2.497363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3998878011527924, 2.315957119094217, -0.6658486042558452], limiar atualizado: -2.477363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3990298011527924, 2.3252771190942174, -0.5572026042558452], limiar atualizado: -2.497363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3903498011527924, 2.3115371190942176, -0.7217766042558452], limiar atualizado: -2.477363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.3946378011527925, 2.3265671190942174, -0.5783786042558452], limiar atualizado: -2.497363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3867238011527925, 2.3244151190942173, -0.6916246042558452], limiar atualizado: -2.477363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3907478011527925, 2.329637119094217, -0.5823626042558452], limiar atualizado: -2.497363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3828338011527925, 2.327485119094217, -0.6956086042558451], limiar atualizado: -2.477363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3868578011527926, 2.332707119094217, -0.5863466042558452], limiar atualizado: -2.497363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.3465598011527926, 2.320323119094217, -0.8048726042558452], limiar atualizado: -2.477363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3505838011527926, 2.3255451190942167, -0.6956106042558452], limiar atualizado: -2.497363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3497258011527926, 2.334865119094217, -0.5869646042558452], limiar atualizado: -2.517363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.3094278011527927, 2.322481119094217, -0.8054906042558452], limiar atualizado: -2.497363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3134518011527927, 2.327703119094217, -0.6962286042558452], limiar atualizado: -2.517363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3125938011527927, 2.337023119094217, -0.5875826042558452], limiar atualizado: -2.537363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.2722958011527927, 2.324639119094217, -0.8061086042558452], limiar atualizado: -2.517363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.2763198011527928, 2.329861119094217, -0.6968466042558452], limiar atualizado: -2.537363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2754618011527927, 2.339181119094217, -0.5882006042558452], limiar atualizado: -2.557363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.2351638011527928, 2.326797119094217, -0.8067266042558452], limiar atualizado: -2.537363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.2391878011527928, 2.332019119094217, -0.6974646042558452], limiar atualizado: -2.557363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2383298011527928, 2.341339119094217, -0.5888186042558452], limiar atualizado: -2.577363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.1980318011527928, 2.3289551190942173, -0.8073446042558452], limiar atualizado: -2.557363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.2020558011527929, 2.334177119094217, -0.6980826042558452], limiar atualizado: -2.577363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2011978011527928, 2.3434971190942173, -0.5894366042558452], limiar atualizado: -2.597363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.160899801152793, 2.3311131190942174, -0.8079626042558452], limiar atualizado: -2.577363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.164923801152793, 2.336335119094217, -0.6987006042558452], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.164065801152793, 2.3456551190942174, -0.5900546042558452], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.1930498011527928, 2.3278631190942174, -0.6780646042558452], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.1921918011527928, 2.3371831190942176, -0.5694186042558452], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.1835118011527928, 2.3234431190942177, -0.7339926042558452], limiar atualizado: -2.597363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.1908198011527928, 2.3443931190942178, -0.5842766042558452], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.1829058011527929, 2.3422411190942176, -0.6975226042558451], limiar atualizado: -2.597363535121879
Erro na linha 27: y=-1, d=1.0, pesos atualizados: [1.2318698011527929, 2.3611511190942176, -0.4733326042558451], limiar atualizado: -2.617363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.191571801152793, 2.3487671190942176, -0.6918586042558451], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.195595801152793, 2.3539891190942175, -0.5825966042558451], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.2245798011527929, 2.3361971190942175, -0.6706066042558452], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2237218011527928, 2.3455171190942177, -0.5619606042558452], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.2150418011527928, 2.331777119094218, -0.7265346042558452], limiar atualizado: -2.597363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.2193298011527929, 2.3468071190942177, -0.5831366042558451], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.211415801152793, 2.3446551190942175, -0.6963826042558451], limiar atualizado: -2.597363535121879
Erro na linha 27: y=-1, d=1.0, pesos atualizados: [1.260379801152793, 2.3635651190942175, -0.4721926042558451], limiar atualizado: -2.617363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.220081801152793, 2.3511811190942176, -0.6907186042558451], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.224105801152793, 2.3564031190942174, -0.5814566042558451], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.253089801152793, 2.3386111190942174, -0.6694666042558451], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2522318011527929, 2.3479311190942176, -0.5608206042558451], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.2435518011527928, 2.3341911190942177, -0.7253946042558451], limiar atualizado: -2.597363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.247839801152793, 2.3492211190942176, -0.5819966042558451], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.239925801152793, 2.3470691190942174, -0.695242604255845], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.243949801152793, 2.3522911190942173, -0.5859806042558451], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.2729338011527929, 2.3344991190942173, -0.6739906042558451], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2720758011527928, 2.3438191190942175, -0.5653446042558451], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.2633958011527928, 2.3300791190942176, -0.7299186042558451], limiar atualizado: -2.597363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.2676838011527929, 2.3451091190942175, -0.5865206042558451], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.259769801152793, 2.3429571190942173, -0.699766604255845], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.263793801152793, 2.348179119094217, -0.5905046042558451], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.2927778011527928, 2.330387119094217, -0.6785146042558451], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2919198011527928, 2.3397071190942174, -0.5698686042558451], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.2832398011527928, 2.3259671190942175, -0.7344426042558451], limiar atualizado: -2.597363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.2875278011527929, 2.3409971190942174, -0.591044604255845], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.2796138011527929, 2.338845119094217, -0.704290604255845], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.283637801152793, 2.344067119094217, -0.595028604255845], limiar atualizado: -2.617363535121879
